127.0.0.1 - - [13/Sep/2024:11:51:23 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Sep/2024:11:51:23 +0900] "GET /04_hklogin_MVC1/ HTTP/1.1" 200 1437
0:0:0:0:0:0:0:1 - - [13/Sep/2024:11:51:23 +0900] "GET /04_hklogin_MVC1/css/loginpage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2024:11:51:23 +0900] "GET /04_hklogin_MVC1/js/cookiefunc.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2024:11:51:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Sep/2024:11:51:36 +0900] "POST /04_hklogin_MVC1/userController.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2024:11:51:36 +0900] "GET /04_hklogin_MVC1/admin_firstpage.jsp HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [13/Sep/2024:11:51:36 +0900] "GET /04_hklogin_MVC1/css/layout.css HTTP/1.1" 200 1360
0:0:0:0:0:0:0:1 - - [13/Sep/2024:11:51:40 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=userfix HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2024:11:51:40 +0900] "GET /04_hklogin_MVC1/admin_fix.jsp HTTP/1.1" 200 2298
0:0:0:0:0:0:0:1 - - [13/Sep/2024:11:51:40 +0900] "GET /04_hklogin_MVC1/css/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2024:11:51:45 +0900] "GET /04_hklogin_MVC1/admin_firstpage.jsp HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [13/Sep/2024:11:51:45 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=usersearch HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2024:11:51:46 +0900] "GET /04_hklogin_MVC1/admin_main.jsp HTTP/1.1" 200 1511
0:0:0:0:0:0:0:1 - - [13/Sep/2024:11:51:49 +0900] "GET /04_hklogin_MVC1/admin_firstpage.jsp HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [13/Sep/2024:11:51:50 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=userfix HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2024:11:51:50 +0900] "GET /04_hklogin_MVC1/admin_fix.jsp HTTP/1.1" 200 2298
0:0:0:0:0:0:0:1 - - [13/Sep/2024:11:51:50 +0900] "GET /04_hklogin_MVC1/css/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2024:13:24:33 +0900] "GET /04_hklogin_MVC1/admin_firstpage.jsp HTTP/1.1" 200 1437
0:0:0:0:0:0:0:1 - - [13/Sep/2024:13:24:39 +0900] "POST /04_hklogin_MVC1/userController.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2024:13:24:39 +0900] "GET /04_hklogin_MVC1/admin_firstpage.jsp HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [13/Sep/2024:13:24:39 +0900] "GET /04_hklogin_MVC1/css/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2024:13:26:07 +0900] "GET /04_hklogin_MVC1/admin_firstpage.jsp HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [13/Sep/2024:13:26:07 +0900] "GET /04_hklogin_MVC1/admin_firstpage.jsp HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [13/Sep/2024:13:26:07 +0900] "GET /04_hklogin_MVC1/admin_firstpage.jsp HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [13/Sep/2024:13:26:09 +0900] "GET /04_hklogin_MVC1/userController.jsp?command=userfix HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2024:13:26:09 +0900] "GET /04_hklogin_MVC1/userList.jsp HTTP/1.1" 200 1799
